artist_id,artist_name,track_id,track_name,track_duration,track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,album_release_date
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,5k5fWendNngd89O8JKoE8L,Better When I'm Dancin',176266,74,0.756,0.789,-7.002,0.0324,0.53,0.000711,0.157,0.873,127.987,6C2AXbI5gZZ0eEFEQY83yH,Better When I'm Dancin',2015-10-14
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,24N1h7w6arNjmwuUFk0lc4,To The Moon,148665,73,0.607,0.528,-6.051,0.0501,0.142,8.74e-06,0.355,0.553,134.921,2G2P07ht3IeibH1sa9p08r,To The Moon,2024-05-03
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,3KwwE4sgCzMaKWq6QBebmX,Me Too,181240,73,0.934,0.694,-5.849,0.101,0.0971,1.2e-06,0.477,0.833,123.831,08eweM0IZoZPCCxODbrMoL,Thank You (Deluxe Version),2017-05-12
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,6gj08XDlv9Duc2fPOxUmVD,Lips Are Movin,182666,69,0.775,0.825,-5.402,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe),2015-01-09
4UFShyUQuA8dguoZrqX0jQ,Luke Hemmings,3O7CKRzUtXwdsYCjv8lOoj,Shakes,194600,58,0.403,0.663,-6.495,0.033,0.588,0.00295,0.124,0.283,155.042,3Ry4DmajssDWHmThH2KseJ,boy,2024-04-26
4UFShyUQuA8dguoZrqX0jQ,Luke Hemmings,53zcieNgV8EX01uN0aTRt8,Close My Eyes,169866,57,0.439,0.695,-6.414,0.0423,0.0162,1.68e-06,0.11,0.673,67.48,3Ry4DmajssDWHmThH2KseJ,boy,2024-04-26
4UFShyUQuA8dguoZrqX0jQ,Luke Hemmings,09JUir78ynEmNxcLfsMu1G,Benny,172000,61,0.543,0.768,-7.945,0.0394,0.609,0.00191,0.111,0.539,98.024,3Ry4DmajssDWHmThH2KseJ,boy,2024-04-26
4UFShyUQuA8dguoZrqX0jQ,Luke Hemmings,3NVA7MmEXXkDFCblaCHS6D,I'm Still Your Boy,236000,58,0.331,0.449,-8.38,0.032,0.578,0.000119,0.101,0.339,139.86,3Ry4DmajssDWHmThH2KseJ,boy,2024-04-26
4UFShyUQuA8dguoZrqX0jQ,Luke Hemmings,7oZYORvXlRFnoXZa53iedn,Garden Life,186133,58,0.607,0.718,-8.141,0.0284,0.296,0.167,0.104,0.659,128.003,3Ry4DmajssDWHmThH2KseJ,boy,2024-04-26
4UFShyUQuA8dguoZrqX0jQ,Luke Hemmings,4FSIfpGQEdJsLXIbufqvOo,Baby Blue,223182,56,0.54,0.82,-3.848,0.0437,0.188,0.0,0.0724,0.465,123.991,5T1HI88OceUlUExSsAM3GQ,When Facing the Things We Turn Away From,2021-08-13
